87.250.224.4 - - [18/Feb/2023:16:07:34 -0800] "GET /robots.txt HTTP/1.1" 404 73 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:08 -0800] "GET /2index.php HTTP/1.1" 404 88 "http://theashish.net//2index.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:08 -0800] "GET /C.php HTTP/1.1" 404 88 "http://theashish.net//C.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:08 -0800] "GET /c.php HTTP/1.1" 404 88 "http://theashish.net//c.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:08 -0800] "GET /01.php HTTP/1.1" 404 88 "http://theashish.net//01.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /1.php HTTP/1.1" 404 88 "http://theashish.net//1.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /02.php HTTP/1.1" 404 88 "http://theashish.net//02.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /wp.php HTTP/1.1" 404 88 "http://theashish.net//wp.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /404.php HTTP/1.1" 404 88 "http://theashish.net//404.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /403.php HTTP/1.1" 404 88 "http://theashish.net//403.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /admin.php HTTP/1.1" 404 88 "http://theashish.net//admin.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:09 -0800] "GET /good.php HTTP/1.1" 404 88 "http://theashish.net//good.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:10 -0800] "GET /wp-content/themes/wp-pridmag/init.php HTTP/1.1" 404 88 "http://theashish.net//wp-content/themes/wp-pridmag/init.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:10 -0800] "GET /radio.php HTTP/1.1" 404 88 "http://theashish.net//radio.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:10 -0800] "GET /wp-includes/1index.php?pass=am*guAW8.ryDgz-TYF HTTP/1.1" 404 88 "http://theashish.net//wp-includes/1index.php?pass=am*guAW8.ryDgz-TYF" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:10 -0800] "GET /1index.php?pass=am*guAW8.ryDgz-TYF HTTP/1.1" 404 88 "http://theashish.net//1index.php?pass=am*guAW8.ryDgz-TYF" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:10 -0800] "GET /wp_wrong_datlib.php?pass=stusa HTTP/1.1" 404 88 "http://theashish.net//wp_wrong_datlib.php?pass=stusa" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:10 -0800] "GET /2index.php?pass=am*guAW8.ryDgz-TYF HTTP/1.1" 404 88 "http://theashish.net//2index.php?pass=am*guAW8.ryDgz-TYF" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:11 -0800] "GET /autoload_classmap.php HTTP/1.1" 404 88 "http://theashish.net//autoload_classmap.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:11 -0800] "GET /wikindex.php HTTP/1.1" 404 88 "http://theashish.net//wikindex.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:11 -0800] "GET /Deadcode1975xxxxxxxxxxxxxxxxxxxxxxxxxxxx.php HTTP/1.1" 404 88 "http://theashish.net//Deadcode1975xxxxxxxxxxxxxxxxxxxxxxxxxxxx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:11 -0800] "GET /1h6j5.php HTTP/1.1" 404 88 "http://theashish.net//1h6j5.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:11 -0800] "GET /wp-admin/setup-config.php HTTP/1.1" 404 88 "http://theashish.net//wp-admin/setup-config.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:11 -0800] "GET /wp-admin/xleet.php HTTP/1.1" 404 88 "http://theashish.net//wp-admin/xleet.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:12 -0800] "GET /wp-content/fw.php HTTP/1.1" 404 88 "http://theashish.net//wp-content/fw.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:12 -0800] "GET /wp-admin/fx.php HTTP/1.1" 404 88 "http://theashish.net//wp-admin/fx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:12 -0800] "GET /4price.php HTTP/1.1" 404 88 "http://theashish.net//4price.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:12 -0800] "GET /utchiha.php HTTP/1.1" 404 88 "http://theashish.net//utchiha.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:12 -0800] "GET /wp-admin/priv8.php HTTP/1.1" 404 88 "http://theashish.net//wp-admin/priv8.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:12 -0800] "GET /wp-admin/rss.php HTTP/1.1" 404 88 "http://theashish.net//wp-admin/rss.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /uploads/xleet.php HTTP/1.1" 404 88 "http://theashish.net//uploads/xleet.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /upload.php?mr=exe3 HTTP/1.1" 404 88 "http://theashish.net//upload.php?mr=exe3" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /about.php HTTP/1.1" 404 88 "http://theashish.net//about.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /wp-includes/customize/class-wp-customize-nav-menu.php?new HTTP/1.1" 404 88 "http://theashish.net//wp-includes/customize/class-wp-customize-nav-menu.php?new" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /ALFA_DATA/alfacgiapi/ups.php HTTP/1.1" 404 88 "http://theashish.net//ALFA_DATA/alfacgiapi/ups.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /3index.php HTTP/1.1" 404 88 "http://theashish.net//3index.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:13 -0800] "GET /alfa.php HTTP/1.1" 404 88 "http://theashish.net//alfa.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:14 -0800] "GET /old-index.php HTTP/1.1" 404 88 "http://theashish.net//old-index.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:14 -0800] "GET /baindex.php HTTP/1.1" 404 88 "http://theashish.net//baindex.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:14 -0800] "GET /wikindex.php HTTP/1.1" 404 88 "http://theashish.net//wikindex.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:14 -0800] "GET /doc.php HTTP/1.1" 404 88 "http://theashish.net//doc.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:14 -0800] "GET /haxor.php HTTP/1.1" 404 88 "http://theashish.net//haxor.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:14 -0800] "GET /marijuana.php HTTP/1.1" 404 88 "http://theashish.net//marijuana.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:15 -0800] "GET /mass.php HTTP/1.1" 404 88 "http://theashish.net//mass.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:15 -0800] "GET /mini.php HTTP/1.1" 404 88 "http://theashish.net//mini.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:15 -0800] "GET /priv8.php HTTP/1.1" 404 88 "http://theashish.net//priv8.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:15 -0800] "GET /shell.php HTTP/1.1" 404 88 "http://theashish.net//shell.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:15 -0800] "GET /small.php HTTP/1.1" 404 88 "http://theashish.net//small.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:15 -0800] "GET /wso.php HTTP/1.1" 404 88 "http://theashish.net//wso.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:16 -0800] "GET /mininew.php HTTP/1.1" 404 88 "http://theashish.net//mininew.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:16 -0800] "GET /xleet.php HTTP/1.1" 404 88 "http://theashish.net//xleet.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:16 -0800] "GET /1337.php HTTP/1.1" 404 88 "http://theashish.net//1337.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:16 -0800] "GET /wxo.php HTTP/1.1" 404 88 "http://theashish.net//wxo.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:16 -0800] "GET /wp-info.php HTTP/1.1" 404 88 "http://theashish.net//wp-info.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:16 -0800] "GET /up-kon.php HTTP/1.1" 404 88 "http://theashish.net//up-kon.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /hehe.php HTTP/1.1" 404 88 "http://theashish.net//hehe.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /3x.php?3x=3x HTTP/1.1" 404 88 "http://theashish.net//3x.php?3x=3x" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /xmlrqc.php HTTP/1.1" 404 88 "http://theashish.net//xmlrqc.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /wp-blog.php HTTP/1.1" 404 88 "http://theashish.net//wp-blog.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /xwxx.php HTTP/1.1" 404 88 "http://theashish.net//xwxx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /wp-content/plugins/fighter/fk.php HTTP/1.1" 404 88 "http://theashish.net//wp-content/plugins/fighter/fk.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:17 -0800] "GET /wp-x.php HTTP/1.1" 404 88 "http://theashish.net//wp-x.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:18 -0800] "GET /xl.php HTTP/1.1" 404 88 "http://theashish.net//xl.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:18 -0800] "GET /wp-god.php HTTP/1.1" 404 88 "http://theashish.net//wp-god.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:18 -0800] "GET /wp-easy.php HTTP/1.1" 404 88 "http://theashish.net//wp-easy.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:18 -0800] "GET /wp-content/plugins/easybusy/wp-blog.php HTTP/1.1" 404 88 "http://theashish.net//wp-content/plugins/easybusy/wp-blog.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:18 -0800] "GET /DKIZ.php?DKIZ HTTP/1.1" 404 88 "http://theashish.net//DKIZ.php?DKIZ" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:18 -0800] "GET /pi.php HTTP/1.1" 404 88 "http://theashish.net//pi.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:19 -0800] "GET /wp-includes/assets/pi.php HTTP/1.1" 404 88 "http://theashish.net//wp-includes/assets/pi.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:19 -0800] "GET /XxX.php HTTP/1.1" 404 88 "http://theashish.net//XxX.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:19 -0800] "GET /new-index.php HTTP/1.1" 404 88 "http://theashish.net//new-index.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:19 -0800] "GET /xml.php HTTP/1.1" 404 88 "http://theashish.net//xml.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:19 -0800] "GET /wp_logx.php HTTP/1.1" 404 88 "http://theashish.net//wp_logx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:19 -0800] "GET /wp-content/upload.php HTTP/1.1" 404 88 "http://theashish.net//wp-content/upload.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:20 -0800] "GET /crypted.php HTTP/1.1" 404 88 "http://theashish.net//crypted.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:20 -0800] "GET /wpx.php HTTP/1.1" 404 88 "http://theashish.net//wpx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:20 -0800] "GET /ini.php HTTP/1.1" 404 88 "http://theashish.net//ini.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:20 -0800] "GET /xx.php HTTP/1.1" 404 88 "http://theashish.net/xx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:20 -0800] "GET /reminder.php HTTP/1.1" 404 88 "http://theashish.net//reminder.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:20 -0800] "GET /wp-content/plugins//masterx/wpx.php HTTP/1.1" 404 88 "http://theashish.net//wp-content/plugins//masterx/wpx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /image/screenshot_1.php HTTP/1.1" 404 88 "http://theashish.net//image/screenshot_1.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /screenshot_1.php HTTP/1.1" 404 88 "http://theashish.net//screenshot_1.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /mad.php HTTP/1.1" 404 88 "http://theashish.net//mad.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /admin/controller/extension/wpm.php HTTP/1.1" 404 88 "http://theashish.net//admin/controller/extension/wpm.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /xlt.php HTTP/1.1" 404 88 "http://theashish.net//xlt.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /xl.php HTTP/1.1" 404 88 "http://theashish.net//xl.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:21 -0800] "GET /lufix.php HTTP/1.1" 404 88 "http://theashish.net//lufix.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:22 -0800] "GET /uploads/up.php HTTP/1.1" 404 88 "http://theashish.net//uploads/up.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:22 -0800] "GET /images/vuln.php HTTP/1.1" 404 88 "http://theashish.net//images/vuln.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:22 -0800] "GET /up.php HTTP/1.1" 404 88 "http://theashish.net//up.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:22 -0800] "GET /media-admin.php HTTP/1.1" 404 88 "http://theashish.net//media-admin.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:22 -0800] "GET /1index.php HTTP/1.1" 404 88 "http://theashish.net//1index.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:22 -0800] "GET /payout.php HTTP/1.1" 404 88 "http://theashish.net//payout.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:23 -0800] "GET /google.php HTTP/1.1" 404 88 "http://theashish.net//google.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:23 -0800] "GET /srx.php HTTP/1.1" 404 88 "http://theashish.net//srx.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:23 -0800] "GET /x.php HTTP/1.1" 404 88 "http://theashish.net//x.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:23 -0800] "GET /upload.php HTTP/1.1" 404 88 "http://theashish.net//upload.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:23 -0800] "GET /ups.php HTTP/1.1" 404 88 "http://theashish.net//ups.php" "Go-http-client/2.0" "theashish.net"
103.154.233.156 - - [18/Feb/2023:19:09:27 -0800] "GET /wp-login.php HTTP/1.1" 404 88 "http://theashish.net/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96" "theashish.net"
114.119.156.138 - - [18/Feb/2023:20:55:42 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
52.27.166.100 - - [18/Feb/2023:23:48:13 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
34.218.249.185 - - [18/Feb/2023:23:49:00 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.187.83.41 - - [18/Feb/2023:23:49:31 -0800] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
114.119.165.43 - - [19/Feb/2023:00:13:30 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
35.87.148.122 - - [19/Feb/2023:00:14:53 -0800] "GET /favicon.ico HTTP/1.1" 200 4286 "http://theashish.net/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
114.119.149.140 - - [19/Feb/2023:03:05:09 -0800] "GET /ProjectPage.html HTTP/1.1" 200 3153 "https://theashish.net/index.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
66.249.66.38 - - [19/Feb/2023:03:15:55 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
66.249.66.37 - - [19/Feb/2023:03:17:20 -0800] "GET /ads.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:04 -0800] "GET / HTTP/1.1" 200 19416 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:04 -0800] "GET /wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:04 -0800] "GET /xmlrpc.php?rsd HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:04 -0800] "GET / HTTP/1.1" 200 19416 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:04 -0800] "GET /blog/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:05 -0800] "GET /web/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:05 -0800] "GET /wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:05 -0800] "GET /website/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:05 -0800] "GET /wp/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:05 -0800] "GET /news/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
168.62.186.154 - - [19/Feb/2023:03:20:05 -0800] "GET /2020/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36" "theashish.net"
